Layer Idx,Layer Name,Layer Type,Pass,Layer Class,Input Tensor dims,Input Tensor Size (Ki),Input Tensor Compression,Filter Size,Stride Size,Pad Size,Dilation Size,Group Size,Output Tensor Dims,Output Tensor Size (Ki),Output Tensor Compression,Weight Dims,Weight Tensor Compression,Weight Size (Ki),Layer MACs (M),Layer Compute OPS (M),Total Size (Ki),Input Sparsity,Output Sparsity,Parameter Sparsity,Compute Sparsity,Precision,TilingInfo
208,encoder_q_reshape8,Reshape,fwd,TensorLayout,encoder_q_proj8(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_q_reshape8(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
209,encoder_q_trans8,Transpose,fwd,TensorLayout,encoder_q_reshape8(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_q_trans8(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
210,encoder_k_proj8,Dense,fwd,ConvOther,encoder_ffn2_layernorm7(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_k_proj8(16;512;1024.0;1.0),16384.00,[1.0],encoder_k_proj8_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
211,encoder_k_reshape8,Reshape,fwd,TensorLayout,encoder_k_proj8(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_k_reshape8(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
212,encoder_k_trans8,Transpose,fwd,TensorLayout,encoder_k_reshape8(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_k_trans8(16;16;64.0;512),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
213,encoder_v_proj8,Dense,fwd,ConvOther,encoder_ffn2_layernorm7(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_v_proj8(16;512;1024.0;1.0),16384.00,[1.0],encoder_v_proj8_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
214,encoder_v_reshape8,Reshape,fwd,TensorLayout,encoder_v_proj8(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_v_reshape8(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
215,encoder_v_trans8,Transpose,fwd,TensorLayout,encoder_v_reshape8(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_v_trans8(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
216,encoder_qk_mul8,MatMul,fwd,ConvOther,"encoder_q_trans8(16;16;512;64.0),encoder_k_trans8(16;16;64.0;512)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qk_mul8(16;16;512;512),131072.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 512, 'output_z': 1, 'max_k_slicing_combined': 64.0, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 256.0, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 2, 'unit_grid_n': 2, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 13.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
217,encoder_qk_smax8,SoftMax,fwd,Activation,encoder_qk_mul8(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax8(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,2415.92,262144.00,[1],[1],[],1,2,{}
218,encoder_qk_dropout8,Dropout,fwd,Other,encoder_qk_smax8(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax8(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,0.00,262144.00,[1],[1],[],1,2,{}
219,encoder_qkv_mul8,MatMul,fwd,ConvOther,"encoder_qk_smax8(16;16;512;512),encoder_v_trans8(16;16;512;64.0)",147456.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qkv_mul8(16;16;512;64.0),16384.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 64.0, 'output_z': 1, 'max_k_slicing_combined': 512, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 512.0, 'tg_tile_size_n': 64, 'tg_tile_size_z': 1, 'unit_tile_size_m': 512.0, 'unit_tile_size_n': 64, 'unit_tile_size_z': 1, 'unit_grid_m': 1, 'unit_grid_n': 1, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 2.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
220,encoder_qkv_mul_trans8,Transpose,fwd,TensorLayout,encoder_qkv_mul8(16;16;512;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_trans8(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
221,encoder_qkv_mul_reshape8,Reshape,fwd,TensorLayout,encoder_qkv_mul_trans8(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_reshape8(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
222,encoder_att_out_project8,Dense,fwd,ConvOther,encoder_qkv_mul_reshape8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project8(16;512;1024;1.0),16384.00,[1.0],encoder_att_out_project8_params(1048576),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
223,encoder_att_out_dropout8,Dropout,fwd,Other,encoder_att_out_project8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project8(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
224,encoder_att_out_res8,Add,fwd,Pointwise,"encoder_att_out_project8(16;512;1024;1.0),encoder_ffn2_layernorm7(16;512;1024;1.0)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_att_out_res8(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
225,encoder_att_out_layernorm8,LayerNorm,fwd,ConvOther,encoder_att_out_res8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_layernorm8(16;512;1024;1.0),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
226,encoder_ffn1_8,Dense,fwd,ConvOther,encoder_att_out_layernorm8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn1_8(16;512;4096;1.0),65536.00,[1.0],encoder_ffn1_8_params(4194304),[1.0],8192.00,34359.74,68719.48,90112.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 4096, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 819.2, 'unit_tile_size_n': 512.0, 'unit_tile_size_z': 1, 'unit_grid_m': 10, 'unit_grid_n': 8, 'unit_grid_z': 1, 'unit_tg_grid_m': 3.2, 'unit_tg_grid_n': 2.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 6.4, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
227,encoder_gelu_8,Gelu,fwd,Activation,encoder_ffn1_8(16;512;4096;1.0),65536.00,[1.0],1,1,0,1,1,encoder_gelu_8(16;512;4096;1.0),65536.00,[1.0],,[],0.00,0.00,1476.40,131072.00,[1],[1],[],1,2,{}
228,encoder_ffn2_8,Dense,fwd,ConvOther,encoder_gelu_8(16;512;4096;1.0),65536.00,[1.0],1,1,0,1,1,encoder_ffn2_8(16;512;1024;1.0),16384.00,[1.0],encoder_ffn2_8_params(4194304),[1.0],8192.00,34359.74,68719.48,90112.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 4096, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
229,encoder_ffn2_dropout8,Dropout,fwd,Other,encoder_ffn2_8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn2_8(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
230,encoder_ffn2_res8,Add,fwd,Pointwise,"encoder_ffn2_8(16;512;1024;1.0),encoder_att_out_layernorm8(16;512;1024;1.0)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_ffn2_res8(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
231,encoder_ffn2_layernorm8,LayerNorm,fwd,ConvOther,encoder_ffn2_res8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn2_layernorm8(16;512;1024;1.0),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
232,encoder_q_proj9,Dense,fwd,ConvOther,encoder_ffn2_layernorm8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_q_proj9(16;512;1024.0;1.0),16384.00,[1.0],encoder_q_proj9_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
233,encoder_q_reshape9,Reshape,fwd,TensorLayout,encoder_q_proj9(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_q_reshape9(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
234,encoder_q_trans9,Transpose,fwd,TensorLayout,encoder_q_reshape9(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_q_trans9(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
235,encoder_k_proj9,Dense,fwd,ConvOther,encoder_ffn2_layernorm8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_k_proj9(16;512;1024.0;1.0),16384.00,[1.0],encoder_k_proj9_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
236,encoder_k_reshape9,Reshape,fwd,TensorLayout,encoder_k_proj9(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_k_reshape9(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
237,encoder_k_trans9,Transpose,fwd,TensorLayout,encoder_k_reshape9(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_k_trans9(16;16;64.0;512),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
238,encoder_v_proj9,Dense,fwd,ConvOther,encoder_ffn2_layernorm8(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_v_proj9(16;512;1024.0;1.0),16384.00,[1.0],encoder_v_proj9_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
239,encoder_v_reshape9,Reshape,fwd,TensorLayout,encoder_v_proj9(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_v_reshape9(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
240,encoder_v_trans9,Transpose,fwd,TensorLayout,encoder_v_reshape9(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_v_trans9(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
241,encoder_qk_mul9,MatMul,fwd,ConvOther,"encoder_q_trans9(16;16;512;64.0),encoder_k_trans9(16;16;64.0;512)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qk_mul9(16;16;512;512),131072.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 512, 'output_z': 1, 'max_k_slicing_combined': 64.0, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 256.0, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 2, 'unit_grid_n': 2, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 13.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
242,encoder_qk_smax9,SoftMax,fwd,Activation,encoder_qk_mul9(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax9(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,2415.92,262144.00,[1],[1],[],1,2,{}
243,encoder_qk_dropout9,Dropout,fwd,Other,encoder_qk_smax9(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax9(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,0.00,262144.00,[1],[1],[],1,2,{}
244,encoder_qkv_mul9,MatMul,fwd,ConvOther,"encoder_qk_smax9(16;16;512;512),encoder_v_trans9(16;16;512;64.0)",147456.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qkv_mul9(16;16;512;64.0),16384.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 64.0, 'output_z': 1, 'max_k_slicing_combined': 512, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 512.0, 'tg_tile_size_n': 64, 'tg_tile_size_z': 1, 'unit_tile_size_m': 512.0, 'unit_tile_size_n': 64, 'unit_tile_size_z': 1, 'unit_grid_m': 1, 'unit_grid_n': 1, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 2.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
245,encoder_qkv_mul_trans9,Transpose,fwd,TensorLayout,encoder_qkv_mul9(16;16;512;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_trans9(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
246,encoder_qkv_mul_reshape9,Reshape,fwd,TensorLayout,encoder_qkv_mul_trans9(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_reshape9(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
247,encoder_att_out_project9,Dense,fwd,ConvOther,encoder_qkv_mul_reshape9(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project9(16;512;1024;1.0),16384.00,[1.0],encoder_att_out_project9_params(1048576),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
248,encoder_att_out_dropout9,Dropout,fwd,Other,encoder_att_out_project9(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project9(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
249,encoder_att_out_res9,Add,fwd,Pointwise,"encoder_att_out_project9(16;512;1024;1.0),encoder_ffn2_layernorm8(16;512;1024;1.0)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_att_out_res9(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
250,encoder_att_out_layernorm9,LayerNorm,fwd,ConvOther,encoder_att_out_res9(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_layernorm9(16;512;1024;1.0),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
251,encoder_ffn1_9,Dense,fwd,ConvOther,encoder_att_out_layernorm9(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn1_9(16;512;4096;1.0),65536.00,[1.0],encoder_ffn1_9_params(4194304),[1.0],8192.00,34359.74,68719.48,90112.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 4096, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 819.2, 'unit_tile_size_n': 512.0, 'unit_tile_size_z': 1, 'unit_grid_m': 10, 'unit_grid_n': 8, 'unit_grid_z': 1, 'unit_tg_grid_m': 3.2, 'unit_tg_grid_n': 2.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 6.4, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
252,encoder_gelu_9,Gelu,fwd,Activation,encoder_ffn1_9(16;512;4096;1.0),65536.00,[1.0],1,1,0,1,1,encoder_gelu_9(16;512;4096;1.0),65536.00,[1.0],,[],0.00,0.00,1476.40,131072.00,[1],[1],[],1,2,{}
253,encoder_ffn2_9,Dense,fwd,ConvOther,encoder_gelu_9(16;512;4096;1.0),65536.00,[1.0],1,1,0,1,1,encoder_ffn2_9(16;512;1024;1.0),16384.00,[1.0],encoder_ffn2_9_params(4194304),[1.0],8192.00,34359.74,68719.48,90112.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 4096, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
254,encoder_ffn2_dropout9,Dropout,fwd,Other,encoder_ffn2_9(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn2_9(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
255,encoder_ffn2_res9,Add,fwd,Pointwise,"encoder_ffn2_9(16;512;1024;1.0),encoder_att_out_layernorm9(16;512;1024;1.0)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_ffn2_res9(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
256,encoder_ffn2_layernorm9,LayerNorm,fwd,ConvOther,encoder_ffn2_res9(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn2_layernorm9(16;512;1024;1.0),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
257,encoder_q_proj10,Dense,fwd,ConvOther,encoder_ffn2_layernorm9(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_q_proj10(16;512;1024.0;1.0),16384.00,[1.0],encoder_q_proj10_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
258,encoder_q_reshape10,Reshape,fwd,TensorLayout,encoder_q_proj10(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_q_reshape10(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
259,encoder_q_trans10,Transpose,fwd,TensorLayout,encoder_q_reshape10(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_q_trans10(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
